AccidentYear,DevelopmentYear,PaidLoss,IncurredLoss,EarnedPremium,LOB
2008,2008,36000,889000,6137000,AUTOBI
2008,2009,149000,776000,6137000,AUTOBI
2008,2010,422000,759000,6137000,AUTOBI
2008,2011,505139,850991,6137000,AUTOBI
2008,2012,703985,995354,6137000,AUTOBI
2008,2013,967269,1173580,6137000,AUTOBI
2008,2014,1152367,1268331,6137000,AUTOBI
2008,2015,1235232,1292522,6137000,AUTOBI
2008,2016,1396356,1425014,6137000,AUTOBI
2008,2017,1402250,1431386,6137000,AUTOBI
2008,2018,1406941,1465387,6137000,AUTOBI
2008,2019,1511037,1517219,6137000,AUTOBI
2008,2020,1518829,1525719,6137000,AUTOBI
2008,2021,1523040,1542719,6137000,AUTOBI
2009,2009,68000,1953000,6935000,AUTOBI
2009,2010,357000,1866000,6935000,AUTOBI
2009,2011,531424,1871369,6935000,AUTOBI
2009,2012,695664,1999167,6935000,AUTOBI
2009,2013,1341839,2539470,6935000,AUTOBI
2009,2014,1711240,2775675,6935000,AUTOBI
2009,2015,2948204,2956101,6935000,AUTOBI
2009,2016,2957484,2957484,6935000,AUTOBI
2009,2017,2957484,2957484,6935000,AUTOBI
2009,2018,2957484,2957484,6935000,AUTOBI
2009,2019,2957484,2957484,6935000,AUTOBI
2009,2020,2957484,2957484,6935000,AUTOBI
2009,2021,2957484,2957484,6935000,AUTOBI
2010,2010,132000,964000,7234000,AUTOBI
2010,2011,447826,1002439,7234000,AUTOBI
2010,2012,765582,1314252,7234000,AUTOBI
2010,2013,1223789,1630246,7234000,AUTOBI
2010,2014,2213994,2416938,7234000,AUTOBI
2010,2015,2248959,2461821,7234000,AUTOBI
2010,2016,2832034,3197634,7234000,AUTOBI
2010,2017,3033688,3351358,7234000,AUTOBI
2010,2018,3399512,3560583,7234000,AUTOBI
2010,2019,3404324,3561449,7234000,AUTOBI
2010,2020,3587044,3587044,7234000,AUTOBI
2010,2021,3587044,3587044,7234000,AUTOBI
2011,2011,141530,1204163,7047840,AUTOBI
2011,2012,536976,1144910,7047840,AUTOBI
2011,2013,785528,1211123,7047840,AUTOBI
2011,2014,1182641,1538491,7047840,AUTOBI
2011,2015,1491710,1719293,7047840,AUTOBI
2011,2016,1800715,1919996,7047840,AUTOBI
2011,2017,1893341,2005888,7047840,AUTOBI
2011,2018,1985025,1985025,7047840,AUTOBI
2011,2019,1987700,2051108,7047840,AUTOBI
2011,2020,1996706,2008827,7047840,AUTOBI
2011,2021,2000271,2000271,7047840,AUTOBI
2012,2012,70298,899286,7094190,AUTOBI
2012,2013,350222,995417,7094190,AUTOBI
2012,2014,831550,1284130,7094190,AUTOBI
2012,2015,1055592,1516119,7094190,AUTOBI
2012,2016,1350821,2344476,7094190,AUTOBI
2012,2017,1714818,3082316,7094190,AUTOBI
2012,2018,2112306,3195858,7094190,AUTOBI
2012,2019,3191569,3191569,7094190,AUTOBI
2012,2020,3191569,3191569,7094190,AUTOBI
2012,2021,3191501,3191501,7094190,AUTOBI
2013,2013,71500,1049843,7625488,AUTOBI
2013,2014,417612,1250270,7625488,AUTOBI
2013,2015,608864,1254329,7625488,AUTOBI
2013,2016,956276,1921974,7625488,AUTOBI
2013,2017,1538798,2227400,7625488,AUTOBI
2013,2018,1900039,2905881,7625488,AUTOBI
